Movie,Genre,Runtime,Rating,Votes,Year,Synopsis,Actors,Certificate,Image
Emerald City,"Adventure, Drama, Fantasy",60 min,7.1,"13,210",2016–2017,A modern reimagining of the stories that led to 'The Wizard of Oz'.,"Adria Arjona, Oliver Jackson-Cohen, Ana Ularu, Gerran Howell",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Ninjago: Dragons Rising,"Animation, Action, Adventure",22 min,7.6,484,2023–,"In the series, many legendary realms have suddenly combined into one, but their union is unstable. A Spinjitzu Ninja Master must train a new generation of heroes to help find Elemental Dragons who can save the planet before the forces of evil use the same dragon energy to destroy this new world.","Sabrina Pitre, Brian Drummond, Sam Vincent, Deven Christian Mack",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Dragon Ball,"Animation, Action, Adventure",24 min,8.6,"63,393",1995–2003,"Dragon Ball tells the tale of a young warrior by the name of Son Goku, a young peculiar boy with a tail who embarks on a quest to become stronger and learns of the Dragon Balls, when, once all 7 are gathered, grant any wish of choice.","Brice Armstrong, Steve Olson, Stephanie Nadolny, Zoe Slusar",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Campion,"Adventure, Crime, Drama",50 min,7.7,945,1989–1990,"In 1930s England, a man from an aristocratic family takes up the pseudonym Albert Campion and, with the help of his ex-burglar manservant, solves mysteries.","Peter Davison, Brian Glover, Andrew Burt, Moray Watson",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Knightfall,"Action, Adventure, Drama",60 min,6.8,"21,666",2017–2019,A look at the final days of the Knights Templar during the 14th century.,"Tom Cullen, Pádraic Delaney, Simon Merrells, Julian Ovenden",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Deadly Class,"Action, Adventure, Comedy",60 min,7.5,"18,795",2018–2019,"A coming-of-age story set against the backdrop of late 1980s counterculture, which follows a disillusioned teen recruited into a storied high school for assassins.","Benedict Wong, Benjamin Wadsworth, Lana Condor, María Gabriela de Faría",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Dark Crystal: Age of Resistance,"Adventure, Family, Fantasy",60 min,8.4,"26,396",2019,"Return to the world of Thra, where three Gelfling discover the horrifying secret behind the Skeksis' power, and set out to ignite the fires of rebellion and save their world.","Neil Sterenberg, Beccy Henderson, Nathalie Emmanuel, Taron Egerton",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
She-Ra and the Princesses of Power,"Animation, Action, Adventure",30 min,8.1,"18,283",2018–2020,"She-Ra, Princess of Power, leads a rebellion to free her land of Etheria from the monstrous invaders the Horde.","Aimee Carrero, Marcus Scribner, Karen Fukuhara, AJ Michalka",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Pluto,"Animation, Action, Adventure",,,No votes yet,2023–,"When the world's seven most advanced robots and their human allies are murdered one by one, inspector Gesicht soon discovers that he's also in danger.","Shinshû Fuji, Yôko Hikasa, Minori Suzuki, Toshihiko Seki",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Gamera: Rebirth,"Animation, Action, Adventure",47 min,6.6,539,2023–,"In the summer of 1989, four kids in Tokyo witness the emergence of the turtle kaiju Gamera, who bravely stands up against giant human-eating monsters.","Hisako Kanemoto, Yoshitsugu Matsuoka, Aki Toyosaki, Subaru Kimura",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Ironheart,"Action, Adventure, Drama",,,No votes yet,2023–,Genius teenage inventor Riri Williams creates the most advanced suit of armor since Iron Man.,"Dominique Thorne, Alden Ehrenreich, Zoe Terakes, Manny Montana",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Killjoys,"Action, Adventure, Sci-Fi",42 min,7.2,"23,104",2015–2019,"In the Quad, a planetary system on the brink of a bloody interplanetary class war, a fun loving trio of bounty hunters attempt to remain impartial as they chase deadly warrants.","Hannah John-Kamen, Aaron Ashmore, Luke Macfarlane, Tamsen McDonough",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
